num,energy,
518,-0.806761,3.138180568
519,-0.941305,1.830310275
520,-0.968755,1.661829735
521,-0.945989,1.800398024
522,-1.042842,1.264642998
523,-1.059264,1.182500254
524,-0.864446,2.425849398
525,-0.771836,3.943270644
526,-0.97406,1.63097581
527,-0.837775,2.708129364
528,-0.829273,2.812289703
529,-1.074562,1.105700699
530,-1.123469,0.666959831
531,-1.110288,0.909178855
532,-0.882986,2.258857336
533,-0.851495,2.555609932
534,-0.921631,1.962136896
535,-0.881604,2.27065449
536,-0.866364,2.407633164
537,-0.972718,1.638729804
538,-0.954997,1.744289388
539,-0.836422,2.72416153
540,-1.093072,1.009425354
541,-1.065082,1.15340532
542,-0.908186,2.05891317
543,-0.820111,2.934856344
544,-0.787813,3.503621241
545,-0.912853,2.024637112
546,-0.845083,2.624733236
547,-0.86702,2.401450085
548,-0.908413,2.057228596
549,-0.86419,2.428305129
550,-0.810628,3.07572823
551,-0.840484,2.676598003
552,-0.981426,1.588914621
553,-0.94875,1.783009851
554,-0.880126,2.283372217
555,-1.04752,1.241181089
556,-0.910908,2.038825608
557,-1.039419,1.281859674
558,-0.796847,3.315003751
559,-0.850023,2.571169372
560,-0.911062,2.037701035
561,-1.054407,1.206752894
562,-0.804637,3.173894211
563,-1.066072,1.148447792
564,-0.825198,2.865364577
565,-0.780527,3.682750022
566,-0.792386,3.404253746
567,-0.800293,3.250493216
568,-0.842448,2.654200166
569,-0.925603,1.93464969
570,-1.059812,1.179759475
571,-1.110143,0.600373707
572,-0.807559,3.125019259
573,-0.803843,3.18752599
574,-0.825315,2.863808906
575,-0.871547,2.35954146
576,-0.860855,2.460617647
577,-0.903028,2.097713523
578,-1.087256,1.040381055
579,-0.929464,1.908374426
580,-0.99923,1.490622896
